Nombre,Equipo,Juegos Jugados,Anotaciones,Promedio
JOSEPH DEL VALLE,BAYAMON,3,8/19,42
CHRIZ,MANATI,2,9/23,39
CHRISROPHER,QUEBRADILLAS,3,8/24,33
ELIEL,AGUADA,5,7/24,29
HELMIS,NARANJITO,6,9/32,28
ERICK,LOIZA COCOTERO,21,8/29,27
ALEXANDER,GUAYNABO,9,8/33,24
ELIER,AGUADA,7,7/34,20
JOSE,MAYAGUEZ,5,7/37,18
JORGE VELAZQUEZ,MAYAGUEZ,17,9/51,17
