Nombre,Equipo,Juegos Jugados,Anotaciones,Promedio
GIOVANY CAJIGAS,QUEBRADILLAS,6,9/20,45
JOSEPH,BAYAMON,13,96/214,44
ROBIEL,MAYAGUEZ,12,81/183,44
YERIEL ALVAREZ,BAYAMON,9,9/21,42
JOHN,BAYAMON,15,81/189,42
VICTOR,LOIZA COCOTERO,11,81/203,39
VICTOR CARRILLO,LOIZA,5,9/24,37
RAYNOND,MANATI,3,9/24,37
JOSTEN VALENTIN,AGUADA,12,8/28,28
LUIS VILLAFANE,LOIZA,17,9/50,18
