Nombre,Equipo,Juegos Jugados,Anotaciones,Promedio
BRADLEY PADILLA,YAUCO,11,9/12,75
BRYAN,LOIZA,31,89/119,74
RAWY,QUEBRADILLAS,4,9/13,69
SEBASTIAN,LOIZA,30,83/131,63
ELIEL,AGUADA,5,8/13,61
JANIEL,NARANJITO,5,8/15,53
JORGE VELAZQUEZ,MAYAGUEZ,17,8/16,50
YADIEL,AGUADA AGUADA,2,8/16,50
JUSTIN,AGUADA SANTEROS,9,8/17,47
ALEXANDER MATOS,GUAYNABO,6,9/21,42
